"id";"id_uczelnia";"typ";"path"
"4926";"194";"galeria";"13657587813717.jpg"
"4927";"194";"galeria";"13656710709793.jpg"
"4928";"194";"galeria";"13656710602669.jpg"
"4929";"194";"galeria";"13656710577486.jpg"
"4930";"194";"galeria";"13656710556530.jpg"
"4931";"194";"galeria";"13656710512760.jpg"
"4932";"194";"galeria";"13656710491487.jpg"
"4933";"194";"galeria";"13656710465547.jpg"
"4934";"401";"logo";"13730090529044.jpg"
"4935";"401";"galeria";"13436440941032.jpg"
"4936";"401";"galeria";"13436440928497.jpg"
"4937";"401";"galeria";"13436440853015.jpg"
"4938";"401";"galeria";"13436440816367.jpg"
"4939";"401";"galeria";"13436440785234.jpg"
"4940";"401";"galeria";"13436440719325.jpg"
"4941";"401";"galeria";"13436440676233.jpg"
"4942";"401";"galeria";"13436440617896.jpg"
"4964";"246";"logo";"13753509592725.jpg"
"4965";"246";"galeria";"13439168375072.jpg"
"4966";"246";"galeria";"13439168351179.jpg"
"4967";"246";"galeria";"13439168346892.jpg"
"4983";"1001";"logo";"13753532664201.jpg"
"4992";"314";"galeria";"13448567112510.png"
"4993";"314";"galeria";"13448567017269.png"
"4994";"314";"galeria";"13448565707277.png"
"4995";"314";"galeria";"13448565685889.png"
"4996";"314";"galeria";"13448565663690.png"
"4997";"314";"galeria";"13448565581917.png"
"4998";"314";"galeria";"13448565488370.png"
"4999";"314";"galeria";"13448565295828.png"
"5212";"45";"logo";"13753522199187.jpg"
"5213";"45";"galeria";"13753522948566.jpg"
"5214";"45";"galeria";"13753522888157.jpg"
"5215";"45";"galeria";"13753522837036.jpg"
"5304";"331";"logo";"13409824917569.jpg"
"5305";"219";"logo";"13436452904277.jpg"
"5395";"191";"logo";"13430522848159.jpg"
"5396";"33";"logo";"13649010338537.jpg"
"5397";"33";"galeria";"13649011587131.jpg"
"5398";"33";"galeria";"13649011515539.jpg"
"5399";"33";"galeria";"13649011387643.jpg"
"5400";"33";"galeria";"13649010401298.jpg"
"5445";"383";"logo";"13449479996066.jpg"
"5446";"383";"galeria";"13776828013620.jpg"
"5447";"383";"galeria";"13776827972834.jpg"
"5448";"383";"galeria";"13776827946768.jpg"
"5449";"383";"galeria";"13776827906963.jpg"
"5450";"383";"galeria";"13776827863028.jpg"
"5451";"383";"galeria";"13776827831848.jpg"
